# IRS Statistics of Income, Individual Complete Report (Publication 1304),
# Table 3.5, Returns with Modified Taxable Income: Tax Generated, by Size of
# Adjusted Gross Income and by Tax Rate.  Tax years 2022 and 2023.
# https://www.irs.gov/pub/irs-soi/22in35tr.xls
# https://www.irs.gov/pub/irs-soi/23in35tr.xls
# Money amounts are thousands of dollars, as published.
# statutory_rate is the preferential capital-gains rate the income was taxed
# at; niit_rate is 3.8 percent where the AGI class lies at or above the
# section 1411 threshold of $200,000 and zero below it.
# Regenerate with: python scripts/build_capital_gains_data.py
tax_year,agi_class,agi_lower,agi_upper,statutory_rate,niit_rate,returns,income_taxed_at_rate_thousands,tax_generated_thousands
2022,"Under $2,000",0.0,2000.0,0.0,0.0,24711,8926.0,0.0
2022,"$2,000 under $4,000",2000.0,4000.0,0.0,0.0,34381,23180.0,0.0
2022,"$4,000 under $6,000",4000.0,6000.0,0.0,0.0,27723,29511.0,0.0
2022,"$6,000 under $8,000",6000.0,8000.0,0.0,0.0,24310,41666.0,0.0
2022,"$8,000 under $10,000",8000.0,10000.0,0.0,0.0,22684,32360.0,0.0
2022,"$10,000 under $12,000",10000.0,12000.0,0.0,0.0,9075,4537.0,0.0
2022,"$12,000 under $14,000",12000.0,14000.0,0.0,0.0,68434,27514.0,0.0
2022,"$14,000 under $16,000",14000.0,16000.0,0.0,0.0,153928,110984.0,0.0
2022,"$16,000 under $18,000",16000.0,18000.0,0.0,0.0,167610,218752.0,0.0
2022,"$18,000 under $20,000",18000.0,20000.0,0.0,0.0,161547,357117.0,0.0
2022,"$20,000 under $25,000",20000.0,25000.0,0.0,0.0,450926,1091629.0,0.0
2022,"$25,000 under $30,000",25000.0,30000.0,0.0,0.0,477167,1329967.0,0.0
2022,"$30,000 under $40,000",30000.0,40000.0,0.0,0.0,1221675,4331286.0,0.0
2022,"$40,000 under $50,000",40000.0,50000.0,0.0,0.0,1286319,5213655.0,0.0
2022,"$40,000 under $50,000",40000.0,50000.0,0.15,0.0,3028,15973.0,2396.0
2022,"$50,000 under $75,000",50000.0,75000.0,0.0,0.0,2400845,14961401.0,0.0
2022,"$50,000 under $75,000",50000.0,75000.0,0.15,0.0,1476526,4702455.0,705417.0
2022,"$75,000 under $100,000",75000.0,100000.0,0.0,0.0,1776153,13239018.0,0.0
2022,"$75,000 under $100,000",75000.0,100000.0,0.15,0.0,1679837,9981199.0,1497217.0
2022,"$100,000 under $200,000",100000.0,200000.0,0.0,0.0,1765952,27808025.0,0.0
2022,"$100,000 under $200,000",100000.0,200000.0,0.15,0.0,7937966,72090577.0,10813790.0
2022,"$100,000 under $200,000",100000.0,200000.0,0.25,0.0,3022,15694.0,3924.0
2022,"$200,000 under $500,000",200000.0,500000.0,0.0,0.038,271889,10727333.0,0.0
2022,"$200,000 under $500,000",200000.0,500000.0,0.15,0.038,6000220,175771837.0,26365915.0
2022,"$200,000 under $500,000",200000.0,500000.0,0.2,0.038,41746,806129.0,161225.0
2022,"$200,000 under $500,000",200000.0,500000.0,0.25,0.038,68806,1003540.0,250893.0
2022,"$200,000 under $500,000",200000.0,500000.0,0.28,0.038,2993,230741.0,64607.0
2022,"$500,000 under $1,000,000",500000.0,1000000.0,0.0,0.038,59306,2904950.0,0.0
