# IRS Statistics of Income, Individual Complete Report (Publication 1304),
# Table 1.4A, Returns with Income or Loss from Sales of Capital Assets
# Reported on Form 1040, Schedule D, by Size of Adjusted Gross Income.
# Tax years 2022 and 2023.
# https://www.irs.gov/pub/irs-soi/22in14acg.xls
# https://www.irs.gov/pub/irs-soi/23in14acg.xls
# Money amounts are thousands of dollars, as published.
# Regenerate with: python scripts/build_capital_gains_data.py
tax_year,agi_class,agi_lower,agi_upper,taxable_net_gain_thousands,net_short_term_gain_thousands,net_long_term_gain_thousands
2022,No adjusted gross income (includes deficits),0.0,0.0,15131125.0,1243818.0,18446786.0
2022,"$1 under $5,000",1.0,5000.0,655402.0,57889.0,1088054.0
2022,"$5,000 under $10,000",5000.0,10000.0,1075066.0,145687.0,1335545.0
2022,"$10,000 under $15,000",10000.0,15000.0,1256699.0,197267.0,1464812.0
2022,"$15,000 under $20,000",15000.0,20000.0,1258729.0,291596.0,1532008.0
2022,"$20,000 under $25,000",20000.0,25000.0,1537561.0,161871.0,1910371.0
2022,"$25,000 under $30,000",25000.0,30000.0,1784653.0,236607.0,2021229.0
2022,"$30,000 under $40,000",30000.0,40000.0,3981590.0,478202.0,4584723.0
2022,"$40,000 under $50,000",40000.0,50000.0,3384009.0,397670.0,4486838.0
2022,"$50,000 under $75,000",50000.0,75000.0,13328918.0,1647471.0,15256592.0
2022,"$75,000 under $100,000",75000.0,100000.0,14586283.0,978238.0,16843816.0
2022,"$100,000 under $200,000",100000.0,200000.0,69765168.0,4895113.0,81490301.0
2022,"$200,000 under $500,000",200000.0,500000.0,150434000.0,9133545.0,170417734.0
2022,"$500,000 under $1,000,000",500000.0,1000000.0,122254903.0,5216540.0,138987687.0
2022,"$1,000,000 under $1,500,000",1000000.0,1500000.0,68052040.0,2985700.0,75699834.0
2022,"$1,500,000 under $2,000,000",1500000.0,2000000.0,45324707.0,2091807.0,49645540.0
2022,"$2,000,000 under $5,000,000",2000000.0,5000000.0,145075477.0,6956973.0,156529573.0
2022,"$5,000,000 under $10,000,000",5000000.0,10000000.0,109907460.0,5995410.0,114740377.0
2022,"$10,000,000 or more",10000000.0,inf,500991294.0,34620190.0,494684930.0
2023,No adjusted gross income (includes deficits),0.0,0.0,11191915.0,1095624.0,11981913.0
2023,"$1 under $5,000",1.0,5000.0,341935.0,185302.0,390046.0
2023,"$5,000 under $10,000",5000.0,10000.0,605865.0,66546.0,740521.0
2023,"$10,000 under $15,000",10000.0,15000.0,976284.0,145715.0,1139960.0
2023,"$15,000 under $20,000",15000.0,20000.0,1211009.0,195025.0,1222242.0
2023,"$20,000 under $25,000",20000.0,25000.0,1439892.0,232253.0,1618072.0
2023,"$25,000 under $30,000",25000.0,30000.0,1599706.0,263062.0,1627983.0
2023,"$30,000 under $40,000",30000.0,40000.0,2412188.0,353214.0,2752465.0
2023,"$40,000 under $50,000",40000.0,50000.0,3432946.0,552786.0,3402047.0
2023,"$50,000 under $75,000",50000.0,75000.0,9255829.0,1426227.0,9470818.0
2023,"$75,000 under $100,000",75000.0,100000.0,12477170.0,1747219.0,12715937.0
2023,"$100,000 under $200,000",100000.0,200000.0,61227818.0,6002699.0,63046717.0
2023,"$200,000 under $500,000",200000.0,500000.0,122879893.0,10602247.0,127187338.0
2023,"$500,000 under $1,000,000",500000.0,1000000.0,97513250.0,7469013.0,100228422.0
2023,"$1,000,000 under $1,500,000",1000000.0,1500000.0,54327753.0,3529026.0,56098627.0
2023,"$1,500,000 under $2,000,000",1500000.0,2000000.0,36453719.0,2288410.0,37572096.0
2023,"$2,000,000 under $5,000,000",2000000.0,5000000.0,109230340.0,6171398.0,111769225.0
2023,"$5,000,000 under $10,000,000",5000000.0,10000000.0,81225475.0,4589807.0,82043062.0
2023,"$10,000,000 or more",10000000.0,inf,358365027.0,23566874.0,346272458.0
