# CBO's own TEN-YEAR BUDGET BASELINE, by fiscal year, by vintage.
#
# Generated by scripts/fetch_cbo_baseline.py. Do not hand-edit: rerun the
# script, which verifies each source file's SHA-256 against a pinned commit
# before writing anything.
#
# Source of record: https://github.com/US-CBO/cbo-data at commit 284a95665f9f2f74ed1f482feb629b43fce323da (2026-06-12),
# file data/budget/ten_year_budget/annual_fy_<edition>.csv. Per-vintage
# repository, path, commit, SHA-256 and fetch date are in PROVENANCE.csv.
#
# Units: BILLIONS of dollars, as CBO prints them. Offsetting receipts
# ("*_offset") are NEGATIVE, as CBO prints them, so a net program level is
# gross + offset.
#
# NOT A CBO PRODUCT. This is a transcription of CBO data; CBO has not
# reviewed it. CBO's own files are public domain (US-CBO/cbo-data LICENSE).
vintage,fiscal_year,variable,value,cbo_variable
cbo_jan_2025,2024,individual_income_tax,2426.067,proj_rev_individual_income
cbo_jan_2025,2025,individual_income_tax,2621.342,proj_rev_individual_income
cbo_jan_2025,2026,individual_income_tax,2968.42,proj_rev_individual_income
cbo_jan_2025,2027,individual_income_tax,3252.893,proj_rev_individual_income
cbo_jan_2025,2028,individual_income_tax,3355.389,proj_rev_individual_income
cbo_jan_2025,2029,individual_income_tax,3454.996,proj_rev_individual_income
cbo_jan_2025,2030,individual_income_tax,3583.738,proj_rev_individual_income
cbo_jan_2025,2031,individual_income_tax,3720.614,proj_rev_individual_income
cbo_jan_2025,2032,individual_income_tax,3869.849,proj_rev_individual_income
cbo_jan_2025,2033,individual_income_tax,4036.699,proj_rev_individual_income
cbo_jan_2025,2034,individual_income_tax,4220.347,proj_rev_individual_income
cbo_jan_2025,2035,individual_income_tax,4412.832,proj_rev_individual_income
cbo_jan_2025,2024,corporate_income_tax,529.867,proj_rev_corporate_income
cbo_jan_2025,2025,corporate_income_tax,523.681,proj_rev_corporate_income
cbo_jan_2025,2026,corporate_income_tax,495.147,proj_rev_corporate_income
cbo_jan_2025,2027,corporate_income_tax,468.977,proj_rev_corporate_income
cbo_jan_2025,2028,corporate_income_tax,462.338,proj_rev_corporate_income
cbo_jan_2025,2029,corporate_income_tax,452.812,proj_rev_corporate_income
cbo_jan_2025,2030,corporate_income_tax,450.154,proj_rev_corporate_income
cbo_jan_2025,2031,corporate_income_tax,455.777,proj_rev_corporate_income
cbo_jan_2025,2032,corporate_income_tax,467.897,proj_rev_corporate_income
cbo_jan_2025,2033,corporate_income_tax,493.134,proj_rev_corporate_income
cbo_jan_2025,2034,corporate_income_tax,503.378,proj_rev_corporate_income
cbo_jan_2025,2035,corporate_income_tax,517.115,proj_rev_corporate_income
cbo_jan_2025,2024,payroll_taxes,1708.926,proj_rev_payroll
cbo_jan_2025,2025,payroll_taxes,1758.622,proj_rev_payroll
cbo_jan_2025,2026,payroll_taxes,1840.255,proj_rev_payroll
cbo_jan_2025,2027,payroll_taxes,1915.35,proj_rev_payroll
cbo_jan_2025,2028,payroll_taxes,1989.977,proj_rev_payroll
cbo_jan_2025,2029,payroll_taxes,2071.876,proj_rev_payroll
cbo_jan_2025,2030,payroll_taxes,2155.48,proj_rev_payroll
cbo_jan_2025,2031,payroll_taxes,2241.791,proj_rev_payroll
cbo_jan_2025,2032,payroll_taxes,2329.39,proj_rev_payroll
cbo_jan_2025,2033,payroll_taxes,2418.53,proj_rev_payroll
cbo_jan_2025,2034,payroll_taxes,2510.311,proj_rev_payroll
cbo_jan_2025,2035,payroll_taxes,2605.182,proj_rev_payroll
cbo_jan_2025,2024,other_revenues_core,253.244,proj_rev_other
cbo_jan_2025,2025,other_revenues_core,259.248,proj_rev_other
cbo_jan_2025,2026,other_revenues_core,276.518,proj_rev_other
cbo_jan_2025,2027,other_revenues_core,297.617,proj_rev_other
cbo_jan_2025,2028,other_revenues_core,300.698,proj_rev_other
cbo_jan_2025,2029,other_revenues_core,310.214,proj_rev_other
