date,variable,value
FY2026,chg_deficit_net_total,139.445
FY2027,chg_deficit_net_total,200.261
FY2028,chg_deficit_net_total,168.882
FY2029,chg_deficit_net_total,81.447
FY2030,chg_deficit_net_total,60.921
FY2031,chg_deficit_net_total,52.909
FY2032,chg_deficit_net_total,68.836
FY2033,chg_deficit_net_total,143.436
FY2034,chg_deficit_net_total,221.25
FY2035,chg_deficit_net_total,247.656
FY2026,chg_deficit_prior_baseline,1713.258
FY2027,chg_deficit_prior_baseline,1686.942
FY2028,chg_deficit_prior_baseline,1910.776
FY2029,chg_deficit_prior_baseline,1938.268
FY2030,chg_deficit_prior_baseline,2139.721
FY2031,chg_deficit_prior_baseline,2232.786
FY2032,chg_deficit_prior_baseline,2370.582
FY2033,chg_deficit_prior_baseline,2637.299
FY2034,chg_deficit_prior_baseline,2597.25
FY2035,chg_deficit_prior_baseline,2531.378
FY2025,chg_disc_def_mil_personnel,182.432
FY2026,chg_disc_def_mil_personnel,184.236
FY2025,chg_disc_def_ops_maint,341.93
FY2026,chg_disc_def_ops_maint,338.231
FY2025,chg_disc_def_other,65.485
FY2026,chg_disc_def_other,65.936
FY2025,chg_disc_def_procurement,173.774
FY2026,chg_disc_def_procurement,168.012
FY2025,chg_disc_def_rnd,140.747
FY2026,chg_disc_def_rnd,141.241
FY2025,chg_disc_def_total_disc_mand_outlays,891.467
FY2026,chg_disc_def_total_disc_mand_outlays,918.053
FY2025,chg_disc_def_total_funding,904.368
FY2026,chg_disc_def_total_funding,897.656
FY2025,chg_disc_def_total_outlays,892.548
FY2026,chg_disc_def_total_outlays,884.513
FY2025,chg_disc_nondef_admin_justice,77.92099999999999
FY2026,chg_disc_nondef_admin_justice,78.673
FY2025,chg_disc_nondef_agriculture,7.523999999999997
FY2026,chg_disc_nondef_agriculture,7.392
FY2025,chg_disc_nondef_commerce,-11.0
FY2026,chg_disc_nondef_commerce,-4.496
FY2025,chg_disc_nondef_community,37.185
FY2026,chg_disc_nondef_community,38.052
FY2025,chg_disc_nondef_education,110.957
FY2026,chg_disc_nondef_education,110.627
FY2025,chg_disc_nondef_energy,8.721
FY2026,chg_disc_nondef_energy,8.733
FY2025,chg_disc_nondef_general_govt,20.259999999999998
FY2026,chg_disc_nondef_general_govt,20.477
FY2025,chg_disc_nondef_health,87.522
FY2026,chg_disc_nondef_health,87.499
FY2025,chg_disc_nondef_income_security,101.674
FY2026,chg_disc_nondef_income_security,110.265
FY2025,chg_disc_nondef_intl_affairs,50.709
FY2026,chg_disc_nondef_intl_affairs,61.173
FY2025,chg_disc_nondef_medicare,8.899
FY2026,chg_disc_nondef_medicare,8.514
FY2025,chg_disc_nondef_natural_resources,46.56499999999999
FY2026,chg_disc_nondef_natural_resources,46.617999999999995
FY2025,chg_disc_nondef_science,40.159
FY2026,chg_disc_nondef_science,41.093
FY2025,chg_disc_nondef_social_security,6.01
FY2026,chg_disc_nondef_social_security,6.497
FY2025,chg_disc_nondef_total_funding,849.7600000000001
FY2026,chg_disc_nondef_total_funding,881.7909999999999
FY2026,chg_disc_nondef_total_outlays,951.971
FY2025,chg_disc_nondef_transportation,126.86299999999997
FY2026,chg_disc_nondef_transportation,126.88499999999999
FY2025,chg_disc_nondef_veterans,129.791
FY2026,chg_disc_nondef_veterans,133.789
FY2026,chg_econ_deficit_total,-100.307
FY2027,chg_econ_deficit_total,-115.517
FY2028,chg_econ_deficit_total,-56.727
FY2029,chg_econ_deficit_total,6.17
FY2030,chg_econ_deficit_total,58.336
FY2031,chg_econ_deficit_total,101.058
FY2032,chg_econ_deficit_total,147.616
FY2033,chg_econ_deficit_total,184.875
FY2034,chg_econ_deficit_total,223.829
FY2035,chg_econ_deficit_total,254.871
FY2026,chg_econ_outlay_debt_service,-0.983
FY2027,chg_econ_outlay_debt_service,-5.691
FY2028,chg_econ_outlay_debt_service,-8.723
FY2029,chg_econ_outlay_debt_service,-9.625
FY2030,chg_econ_outlay_debt_service,-8.399
FY2031,chg_econ_outlay_debt_service,-5.395
FY2032,chg_econ_outlay_debt_service,-0.8
FY2033,chg_econ_outlay_debt_service,5.457
FY2034,chg_econ_outlay_debt_service,13.049
FY2035,chg_econ_outlay_debt_service,21.964
FY2026,chg_econ_outlay_interest_rates,15.526
FY2027,chg_econ_outlay_interest_rates,16.939
FY2028,chg_econ_outlay_interest_rates,31.883
FY2029,chg_econ_outlay_interest_rates,52.758
FY2030,chg_econ_outlay_interest_rates,76.747
FY2031,chg_econ_outlay_interest_rates,103.79
FY2032,chg_econ_outlay_interest_rates,129.028
FY2033,chg_econ_outlay_interest_rates,150.101
FY2034,chg_econ_outlay_interest_rates,171.356
FY2035,chg_econ_outlay_interest_rates,188.629
FY2026,chg_econ_outlay_mand_medicaid,0.303
FY2027,chg_econ_outlay_mand_medicaid,-0.182
FY2028,chg_econ_outlay_mand_medicaid,-0.886
FY2029,chg_econ_outlay_mand_medicaid,-1.645
FY2030,chg_econ_outlay_mand_medicaid,-2.447
FY2031,chg_econ_outlay_mand_medicaid,-3.089
FY2032,chg_econ_outlay_mand_medicaid,-3.804
FY2033,chg_econ_outlay_mand_medicaid,-4.412
FY2034,chg_econ_outlay_mand_medicaid,-4.791
FY2035,chg_econ_outlay_mand_medicaid,-4.999
FY2026,chg_econ_outlay_mand_medicare,-0.079
FY2027,chg_econ_outlay_mand_medicare,-0.225
FY2028,chg_econ_outlay_mand_medicare,-0.952
FY2029,chg_econ_outlay_mand_medicare,-2.068
FY2030,chg_econ_outlay_mand_medicare,-3.944
FY2031,chg_econ_outlay_mand_medicare,-6.827
FY2032,chg_econ_outlay_mand_medicare,-9.231
FY2033,chg_econ_outlay_mand_medicare,-12.012
FY2034,chg_econ_outlay_mand_medicare,-15.164
FY2035,chg_econ_outlay_mand_medicare,-16.552
FY2026,chg_econ_outlay_mand_other,-0.173
FY2027,chg_econ_outlay_mand_other,1.007
FY2028,chg_econ_outlay_mand_other,3.693
FY2029,chg_econ_outlay_mand_other,3.173
FY2030,chg_econ_outlay_mand_other,3.335
FY2031,chg_econ_outlay_mand_other,1.498
FY2032,chg_econ_outlay_mand_other,2.957
FY2033,chg_econ_outlay_mand_other,1.982
FY2034,chg_econ_outlay_mand_other,3.761
FY2035,chg_econ_outlay_mand_other,1.988
FY2026,chg_econ_outlay_mand_snap,1.805
FY2027,chg_econ_outlay_mand_snap,6.195
FY2028,chg_econ_outlay_mand_snap,8.98
FY2029,chg_econ_outlay_mand_snap,10.658
FY2030,chg_econ_outlay_mand_snap,11.893
FY2031,chg_econ_outlay_mand_snap,12.862
FY2032,chg_econ_outlay_mand_snap,13.856
FY2033,chg_econ_outlay_mand_snap,14.41
FY2034,chg_econ_outlay_mand_snap,14.679
FY2035,chg_econ_outlay_mand_snap,14.807
FY2026,chg_econ_outlay_mand_social_security,4.3
FY2027,chg_econ_outlay_mand_social_security,13.3
FY2028,chg_econ_outlay_mand_social_security,18.6
FY2029,chg_econ_outlay_mand_social_security,19.5
FY2030,chg_econ_outlay_mand_social_security,20.9
FY2031,chg_econ_outlay_mand_social_security,21.8
FY2032,chg_econ_outlay_mand_social_security,22.4
FY2033,chg_econ_outlay_mand_social_security,23.2
FY2034,chg_econ_outlay_mand_social_security,24.2
FY2035,chg_econ_outlay_mand_social_security,24.5
FY2026,chg_econ_outlay_mand_total,7.106000000000002
FY2027,chg_econ_outlay_mand_total,22.288
FY2028,chg_econ_outlay_mand_total,32.512
FY2029,chg_econ_outlay_mand_total,32.595000000000006
FY2030,chg_econ_outlay_mand_total,33.344
FY2031,chg_econ_outlay_mand_total,30.132
FY2032,chg_econ_outlay_mand_total,30.469999999999985
FY2033,chg_econ_outlay_mand_total,28.337
FY2034,chg_econ_outlay_mand_total,27.959
FY2035,chg_econ_outlay_mand_total,24.869
FY2026,chg_econ_outlay_mand_veterans,0.95
FY2027,chg_econ_outlay_mand_veterans,2.193
FY2028,chg_econ_outlay_mand_veterans,3.077
FY2029,chg_econ_outlay_mand_veterans,2.977
FY2030,chg_econ_outlay_mand_veterans,3.607
FY2031,chg_econ_outlay_mand_veterans,3.888
FY2032,chg_econ_outlay_mand_veterans,4.292
FY2033,chg_econ_outlay_mand_veterans,5.169
FY2034,chg_econ_outlay_mand_veterans,5.274
FY2035,chg_econ_outlay_mand_veterans,5.125
FY2026,chg_econ_outlay_net_interest,14.543
FY2027,chg_econ_outlay_net_interest,11.248
FY2028,chg_econ_outlay_net_interest,23.16
