date,variable,value,estimate_type
2021,chained_cpiu,149.658,actual
2022,chained_cpiu,160.872,actual
2023,chained_cpiu,168.958,actual
2024,chained_cpiu,173.266,projected
2025,chained_cpiu,177.074,projected
2026,chained_cpiu,180.747,projected
2027,chained_cpiu,184.265,projected
2028,chained_cpiu,187.843,projected
2029,chained_cpiu,191.537,projected
2030,chained_cpiu,195.324,projected
2031,chained_cpiu,199.213,projected
2032,chained_cpiu,203.194,projected
2033,chained_cpiu,207.262,projected
2034,chained_cpiu,211.416,projected
2021,chained_cpiu_pct_change,3.232,actual
2022,chained_cpiu_pct_change,7.493,actual
2023,chained_cpiu_pct_change,5.026,actual
2024,chained_cpiu_pct_change,2.549,projected
2025,chained_cpiu_pct_change,2.197,projected
2026,chained_cpiu_pct_change,2.074,projected
2027,chained_cpiu_pct_change,1.946,projected
2028,chained_cpiu_pct_change,1.941,projected
2029,chained_cpiu_pct_change,1.966,projected
2030,chained_cpiu_pct_change,1.977,projected
2031,chained_cpiu_pct_change,1.99,projected
2032,chained_cpiu_pct_change,1.998,projected
2033,chained_cpiu_pct_change,2.002,projected
2034,chained_cpiu_pct_change,2.004,projected
2021,change_pri_inv,-31.5,actual
2022,change_pri_inv,176.8,actual
2023,change_pri_inv,82.7,actual
2024,change_pri_inv,58.2,projected
2025,change_pri_inv,67.4,projected
2026,change_pri_inv,87.4,projected
2027,change_pri_inv,89.2,projected
2028,change_pri_inv,90.7,projected
2029,change_pri_inv,92.4,projected
2030,change_pri_inv,94.8,projected
2031,change_pri_inv,96.1,projected
2032,change_pri_inv,98.1,projected
2033,change_pri_inv,99.6,projected
2034,change_pri_inv,101.8,projected
2021,compensation,12284.9,actual
2022,compensation,13276.8,actual
2023,compensation,14035.8,actual
2024,compensation,14771.0,projected
2025,compensation,15484.3,projected
2026,compensation,16170.5,projected
2027,compensation,16852.3,projected
2028,compensation,17552.4,projected
2029,compensation,18280.7,projected
2030,compensation,19031.8,projected
2031,compensation,19802.5,projected
2032,compensation,20591.2,projected
2033,compensation,21396.6,projected
2034,compensation,22218.5,projected
2021,compensation_share_of_gdp,53.56,actual
2022,compensation_share_of_gdp,52.465,actual
2023,compensation_share_of_gdp,52.018,actual
2024,compensation_share_of_gdp,52.423,projected
2025,compensation_share_of_gdp,52.926,projected
2026,compensation_share_of_gdp,53.011,projected
2027,compensation_share_of_gdp,53.068,projected
2028,compensation_share_of_gdp,53.119,projected
2029,compensation_share_of_gdp,53.18,projected
2030,compensation_share_of_gdp,53.241,projected
2031,compensation_share_of_gdp,53.294,projected
2032,compensation_share_of_gdp,53.332,projected
2033,compensation_share_of_gdp,53.349,projected
2034,compensation_share_of_gdp,53.351,projected
2021,core_cpiu,273.859,actual
2022,core_cpiu,290.057,actual
2023,core_cpiu,305.4,actual
2024,core_cpiu,315.653,projected
2025,core_cpiu,324.52,projected
2026,core_cpiu,332.726,projected
2027,core_cpiu,340.395,projected
2028,core_cpiu,348.055,projected
2029,core_cpiu,355.915,projected
2030,core_cpiu,363.953,projected
2031,core_cpiu,372.171,projected
2032,core_cpiu,380.574,projected
2033,core_cpiu,389.166,projected
2034,core_cpiu,397.955,projected
2021,core_cpiu_pct_change,2.716,actual
2022,core_cpiu_pct_change,5.914,actual
2023,core_cpiu_pct_change,5.289,actual
2024,core_cpiu_pct_change,3.357,projected
2025,core_cpiu_pct_change,2.808,projected
2026,core_cpiu_pct_change,2.528,projected
2027,core_cpiu_pct_change,2.304,projected
2028,core_cpiu_pct_change,2.25,projected
2029,core_cpiu_pct_change,2.258,projected
2030,core_cpiu_pct_change,2.258,projected
2031,core_cpiu_pct_change,2.258,projected
2032,core_cpiu_pct_change,2.257,projected
2033,core_cpiu_pct_change,2.257,projected
2034,core_cpiu_pct_change,2.258,projected
2021,core_pce_price_index,107.442,actual
2022,core_pce_price_index,113.026,actual
2023,core_pce_price_index,118.221,actual
2024,core_pce_price_index,121.469,projected
2025,core_pce_price_index,124.363,projected
2026,core_pce_price_index,127.182,projected
2027,core_pce_price_index,129.861,projected
