# CBO's own STATUTORY TAX PARAMETER SCHEDULE, by calendar year, by vintage.
#
# Generated by scripts/fetch_cbo_tax_parameters.py. Do not hand-edit: rerun the
# script, which verifies each source file's SHA-256 against a pinned commit and
# re-checks the statutory identities before writing anything.
#
# Source of record: https://github.com/US-CBO/cbo-data at commit 284a95665f9f2f74ed1f482feb629b43fce323da (2026-06-12),
# file data/budget/tax_parameters/annual_cy_<edition>.csv, one edition per
# vintage. CBO publication 53724, "Tax Parameters and Effective Marginal Tax
# Rates". Public domain (17 U.S.C. 105).
#
# Transcribed VERBATIM - every variable CBO publishes, not a subset - so that
# the relationship between this file and the upstream one is checkable rather
# than asserted. Most of these series are wired to nothing today; see
# fiscal_model/cbo_tax_parameters.py for what reads which.
#
# Per-vintage provenance, including which vintages are an exact edition match
# and which are not, is in PROVENANCE.csv beside this file.
vintage,calendar_year,variable,value
cbo_feb_2024,2021,tp_additional_deduction_mfj_mfs,1350.0
cbo_feb_2024,2022,tp_additional_deduction_mfj_mfs,1400.0
cbo_feb_2024,2023,tp_additional_deduction_mfj_mfs,1500.0
cbo_feb_2024,2024,tp_additional_deduction_mfj_mfs,1550.0
cbo_feb_2024,2025,tp_additional_deduction_mfj_mfs,1600.0
cbo_feb_2024,2026,tp_additional_deduction_mfj_mfs,1650.0
cbo_feb_2024,2027,tp_additional_deduction_mfj_mfs,1700.0
cbo_feb_2024,2028,tp_additional_deduction_mfj_mfs,1700.0
cbo_feb_2024,2029,tp_additional_deduction_mfj_mfs,1750.0
cbo_feb_2024,2030,tp_additional_deduction_mfj_mfs,1800.0
cbo_feb_2024,2031,tp_additional_deduction_mfj_mfs,1800.0
cbo_feb_2024,2032,tp_additional_deduction_mfj_mfs,1850.0
cbo_feb_2024,2033,tp_additional_deduction_mfj_mfs,1900.0
cbo_feb_2024,2034,tp_additional_deduction_mfj_mfs,1950.0
cbo_feb_2024,2021,tp_additional_deduction_single_hoh,1700.0
cbo_feb_2024,2022,tp_additional_deduction_single_hoh,1750.0
cbo_feb_2024,2023,tp_additional_deduction_single_hoh,1850.0
cbo_feb_2024,2024,tp_additional_deduction_single_hoh,1950.0
cbo_feb_2024,2025,tp_additional_deduction_single_hoh,2000.0
cbo_feb_2024,2026,tp_additional_deduction_single_hoh,2050.0
cbo_feb_2024,2027,tp_additional_deduction_single_hoh,2100.0
cbo_feb_2024,2028,tp_additional_deduction_single_hoh,2150.0
cbo_feb_2024,2029,tp_additional_deduction_single_hoh,2200.0
cbo_feb_2024,2030,tp_additional_deduction_single_hoh,2250.0
cbo_feb_2024,2031,tp_additional_deduction_single_hoh,2300.0
cbo_feb_2024,2032,tp_additional_deduction_single_hoh,2300.0
cbo_feb_2024,2033,tp_additional_deduction_single_hoh,2350.0
cbo_feb_2024,2034,tp_additional_deduction_single_hoh,2400.0
cbo_feb_2024,2021,tp_amt_bracket_2_hoh,199900.0
cbo_feb_2024,2022,tp_amt_bracket_2_hoh,206100.0
cbo_feb_2024,2023,tp_amt_bracket_2_hoh,220700.0
cbo_feb_2024,2024,tp_amt_bracket_2_hoh,232600.0
cbo_feb_2024,2025,tp_amt_bracket_2_hoh,239800.0
cbo_feb_2024,2026,tp_amt_bracket_2_hoh,245400.0
cbo_feb_2024,2027,tp_amt_bracket_2_hoh,250300.0
cbo_feb_2024,2028,tp_amt_bracket_2_hoh,255100.0
cbo_feb_2024,2029,tp_amt_bracket_2_hoh,260000.0
cbo_feb_2024,2030,tp_amt_bracket_2_hoh,265100.0
cbo_feb_2024,2031,tp_amt_bracket_2_hoh,270400.0
cbo_feb_2024,2032,tp_amt_bracket_2_hoh,275700.0
cbo_feb_2024,2033,tp_amt_bracket_2_hoh,281300.0
cbo_feb_2024,2034,tp_amt_bracket_2_hoh,286900.0
cbo_feb_2024,2021,tp_amt_bracket_2_mfj,199900.0
cbo_feb_2024,2022,tp_amt_bracket_2_mfj,206100.0
cbo_feb_2024,2023,tp_amt_bracket_2_mfj,220700.0
cbo_feb_2024,2024,tp_amt_bracket_2_mfj,232600.0
cbo_feb_2024,2025,tp_amt_bracket_2_mfj,239800.0
cbo_feb_2024,2026,tp_amt_bracket_2_mfj,245400.0
cbo_feb_2024,2027,tp_amt_bracket_2_mfj,250300.0
cbo_feb_2024,2028,tp_amt_bracket_2_mfj,255100.0
cbo_feb_2024,2029,tp_amt_bracket_2_mfj,260000.0
cbo_feb_2024,2030,tp_amt_bracket_2_mfj,265100.0
cbo_feb_2024,2031,tp_amt_bracket_2_mfj,270400.0
cbo_feb_2024,2032,tp_amt_bracket_2_mfj,275700.0
cbo_feb_2024,2033,tp_amt_bracket_2_mfj,281300.0
cbo_feb_2024,2034,tp_amt_bracket_2_mfj,286900.0
cbo_feb_2024,2021,tp_amt_bracket_2_mfs,99950.0
cbo_feb_2024,2022,tp_amt_bracket_2_mfs,103050.0
cbo_feb_2024,2023,tp_amt_bracket_2_mfs,110350.0
cbo_feb_2024,2024,tp_amt_bracket_2_mfs,116300.0
cbo_feb_2024,2025,tp_amt_bracket_2_mfs,119900.0
cbo_feb_2024,2026,tp_amt_bracket_2_mfs,122700.0
cbo_feb_2024,2027,tp_amt_bracket_2_mfs,125150.0
cbo_feb_2024,2028,tp_amt_bracket_2_mfs,127550.0
cbo_feb_2024,2029,tp_amt_bracket_2_mfs,130000.0
cbo_feb_2024,2030,tp_amt_bracket_2_mfs,132550.0
cbo_feb_2024,2031,tp_amt_bracket_2_mfs,135200.0
cbo_feb_2024,2032,tp_amt_bracket_2_mfs,137850.0
cbo_feb_2024,2033,tp_amt_bracket_2_mfs,140650.0
cbo_feb_2024,2034,tp_amt_bracket_2_mfs,143450.0
cbo_feb_2024,2021,tp_amt_bracket_2_single,199900.0
cbo_feb_2024,2022,tp_amt_bracket_2_single,206100.0
cbo_feb_2024,2023,tp_amt_bracket_2_single,220700.0
cbo_feb_2024,2024,tp_amt_bracket_2_single,232600.0
cbo_feb_2024,2025,tp_amt_bracket_2_single,239800.0
cbo_feb_2024,2026,tp_amt_bracket_2_single,245400.0
cbo_feb_2024,2027,tp_amt_bracket_2_single,250300.0
cbo_feb_2024,2028,tp_amt_bracket_2_single,255100.0
cbo_feb_2024,2029,tp_amt_bracket_2_single,260000.0
cbo_feb_2024,2030,tp_amt_bracket_2_single,265100.0
cbo_feb_2024,2031,tp_amt_bracket_2_single,270400.0
cbo_feb_2024,2032,tp_amt_bracket_2_single,275700.0
cbo_feb_2024,2033,tp_amt_bracket_2_single,281300.0
cbo_feb_2024,2034,tp_amt_bracket_2_single,286900.0
cbo_feb_2024,2021,tp_amt_exemption_hoh,73600.0
cbo_feb_2024,2022,tp_amt_exemption_hoh,75900.0
cbo_feb_2024,2023,tp_amt_exemption_hoh,81300.0
cbo_feb_2024,2024,tp_amt_exemption_hoh,85700.0
cbo_feb_2024,2025,tp_amt_exemption_hoh,88300.0
cbo_feb_2024,2026,tp_amt_exemption_hoh,70900.0
cbo_feb_2024,2027,tp_amt_exemption_hoh,72400.0
cbo_feb_2024,2028,tp_amt_exemption_hoh,73800.0
cbo_feb_2024,2029,tp_amt_exemption_hoh,75200.0
cbo_feb_2024,2030,tp_amt_exemption_hoh,76700.0
cbo_feb_2024,2031,tp_amt_exemption_hoh,78200.0
cbo_feb_2024,2032,tp_amt_exemption_hoh,79700.0
cbo_feb_2024,2033,tp_amt_exemption_hoh,81300.0
cbo_feb_2024,2034,tp_amt_exemption_hoh,82900.0
cbo_feb_2024,2021,tp_amt_exemption_mfj,114600.0
cbo_feb_2024,2022,tp_amt_exemption_mfj,118100.0
cbo_feb_2024,2023,tp_amt_exemption_mfj,126500.0
cbo_feb_2024,2024,tp_amt_exemption_mfj,133300.0
cbo_feb_2024,2025,tp_amt_exemption_mfj,137500.0
cbo_feb_2024,2026,tp_amt_exemption_mfj,110400.0
cbo_feb_2024,2027,tp_amt_exemption_mfj,112600.0
cbo_feb_2024,2028,tp_amt_exemption_mfj,114800.0
cbo_feb_2024,2029,tp_amt_exemption_mfj,117000.0
cbo_feb_2024,2030,tp_amt_exemption_mfj,119300.0
cbo_feb_2024,2031,tp_amt_exemption_mfj,121700.0
cbo_feb_2024,2032,tp_amt_exemption_mfj,124100.0
cbo_feb_2024,2033,tp_amt_exemption_mfj,126600.0
cbo_feb_2024,2034,tp_amt_exemption_mfj,129100.0
cbo_feb_2024,2021,tp_amt_exemption_mfs,57300.0
cbo_feb_2024,2022,tp_amt_exemption_mfs,59050.0
cbo_feb_2024,2023,tp_amt_exemption_mfs,63250.0
cbo_feb_2024,2024,tp_amt_exemption_mfs,66650.0
cbo_feb_2024,2025,tp_amt_exemption_mfs,68750.0
cbo_feb_2024,2026,tp_amt_exemption_mfs,55200.0
cbo_feb_2024,2027,tp_amt_exemption_mfs,56300.0
cbo_feb_2024,2028,tp_amt_exemption_mfs,57400.0
cbo_feb_2024,2029,tp_amt_exemption_mfs,58500.0
cbo_feb_2024,2030,tp_amt_exemption_mfs,59650.0
cbo_feb_2024,2031,tp_amt_exemption_mfs,60850.0
cbo_feb_2024,2032,tp_amt_exemption_mfs,62050.0
cbo_feb_2024,2033,tp_amt_exemption_mfs,63300.0
cbo_feb_2024,2034,tp_amt_exemption_mfs,64550.0
cbo_feb_2024,2021,tp_amt_exemption_single,73600.0
cbo_feb_2024,2022,tp_amt_exemption_single,75900.0
cbo_feb_2024,2023,tp_amt_exemption_single,81300.0
cbo_feb_2024,2024,tp_amt_exemption_single,85700.0
cbo_feb_2024,2025,tp_amt_exemption_single,88300.0
cbo_feb_2024,2026,tp_amt_exemption_single,70900.0
cbo_feb_2024,2027,tp_amt_exemption_single,72400.0
cbo_feb_2024,2028,tp_amt_exemption_single,73800.0
cbo_feb_2024,2029,tp_amt_exemption_single,75200.0
cbo_feb_2024,2030,tp_amt_exemption_single,76700.0
cbo_feb_2024,2031,tp_amt_exemption_single,78200.0
cbo_feb_2024,2032,tp_amt_exemption_single,79700.0
cbo_feb_2024,2033,tp_amt_exemption_single,81300.0
cbo_feb_2024,2034,tp_amt_exemption_single,82900.0
cbo_feb_2024,2021,tp_amt_phaseout_hoh,523600.0
cbo_feb_2024,2022,tp_amt_phaseout_hoh,539900.0
cbo_feb_2024,2023,tp_amt_phaseout_hoh,578150.0
cbo_feb_2024,2024,tp_amt_phaseout_hoh,609350.0
cbo_feb_2024,2025,tp_amt_phaseout_hoh,628250.0
cbo_feb_2024,2026,tp_amt_phaseout_hoh,157700.0
cbo_feb_2024,2027,tp_amt_phaseout_hoh,160900.0
cbo_feb_2024,2028,tp_amt_phaseout_hoh,164000.0
cbo_feb_2024,2029,tp_amt_phaseout_hoh,167100.0
cbo_feb_2024,2030,tp_amt_phaseout_hoh,170400.0
cbo_feb_2024,2031,tp_amt_phaseout_hoh,173800.0
cbo_feb_2024,2032,tp_amt_phaseout_hoh,177300.0
cbo_feb_2024,2033,tp_amt_phaseout_hoh,180800.0
cbo_feb_2024,2034,tp_amt_phaseout_hoh,184400.0
cbo_feb_2024,2021,tp_amt_phaseout_mfj,1047200.0
cbo_feb_2024,2022,tp_amt_phaseout_mfj,1079800.0
cbo_feb_2024,2023,tp_amt_phaseout_mfj,1156300.0
cbo_feb_2024,2024,tp_amt_phaseout_mfj,1218700.0
cbo_feb_2024,2025,tp_amt_phaseout_mfj,1256500.0
cbo_feb_2024,2026,tp_amt_phaseout_mfj,210300.0
cbo_feb_2024,2027,tp_amt_phaseout_mfj,214500.0
cbo_feb_2024,2028,tp_amt_phaseout_mfj,218600.0
cbo_feb_2024,2029,tp_amt_phaseout_mfj,222900.0
cbo_feb_2024,2030,tp_amt_phaseout_mfj,227200.0
cbo_feb_2024,2031,tp_amt_phaseout_mfj,231700.0
cbo_feb_2024,2032,tp_amt_phaseout_mfj,236400.0
cbo_feb_2024,2033,tp_amt_phaseout_mfj,241100.0
cbo_feb_2024,2034,tp_amt_phaseout_mfj,245900.0
cbo_feb_2024,2021,tp_amt_phaseout_mfs,523600.0
cbo_feb_2024,2022,tp_amt_phaseout_mfs,539900.0
cbo_feb_2024,2023,tp_amt_phaseout_mfs,578150.0
cbo_feb_2024,2024,tp_amt_phaseout_mfs,609350.0
cbo_feb_2024,2025,tp_amt_phaseout_mfs,628250.0
cbo_feb_2024,2026,tp_amt_phaseout_mfs,105150.0
cbo_feb_2024,2027,tp_amt_phaseout_mfs,107250.0
cbo_feb_2024,2028,tp_amt_phaseout_mfs,109300.0
cbo_feb_2024,2029,tp_amt_phaseout_mfs,111450.0
cbo_feb_2024,2030,tp_amt_phaseout_mfs,113600.0
cbo_feb_2024,2031,tp_amt_phaseout_mfs,115850.0
cbo_feb_2024,2032,tp_amt_phaseout_mfs,118200.0
cbo_feb_2024,2033,tp_amt_phaseout_mfs,120550.0
cbo_feb_2024,2034,tp_amt_phaseout_mfs,122950.0
cbo_feb_2024,2021,tp_amt_phaseout_single,523600.0
cbo_feb_2024,2022,tp_amt_phaseout_single,539900.0
cbo_feb_2024,2023,tp_amt_phaseout_single,578150.0
cbo_feb_2024,2024,tp_amt_phaseout_single,609350.0
cbo_feb_2024,2025,tp_amt_phaseout_single,628250.0
cbo_feb_2024,2026,tp_amt_phaseout_single,157700.0
cbo_feb_2024,2027,tp_amt_phaseout_single,160900.0
cbo_feb_2024,2028,tp_amt_phaseout_single,164000.0
cbo_feb_2024,2029,tp_amt_phaseout_single,167100.0
cbo_feb_2024,2030,tp_amt_phaseout_single,170400.0
cbo_feb_2024,2031,tp_amt_phaseout_single,173800.0
cbo_feb_2024,2032,tp_amt_phaseout_single,177300.0
cbo_feb_2024,2033,tp_amt_phaseout_single,180800.0
cbo_feb_2024,2034,tp_amt_phaseout_single,184400.0
cbo_feb_2024,2021,tp_amt_rate_1,26.0
cbo_feb_2024,2022,tp_amt_rate_1,26.0
cbo_feb_2024,2023,tp_amt_rate_1,26.0
cbo_feb_2024,2024,tp_amt_rate_1,26.0
cbo_feb_2024,2025,tp_amt_rate_1,26.0
cbo_feb_2024,2026,tp_amt_rate_1,26.0
cbo_feb_2024,2027,tp_amt_rate_1,26.0
cbo_feb_2024,2028,tp_amt_rate_1,26.0
cbo_feb_2024,2029,tp_amt_rate_1,26.0
cbo_feb_2024,2030,tp_amt_rate_1,26.0
cbo_feb_2024,2031,tp_amt_rate_1,26.0
cbo_feb_2024,2032,tp_amt_rate_1,26.0
cbo_feb_2024,2033,tp_amt_rate_1,26.0
cbo_feb_2024,2034,tp_amt_rate_1,26.0
cbo_feb_2024,2021,tp_amt_rate_2,28.0
cbo_feb_2024,2022,tp_amt_rate_2,28.0
cbo_feb_2024,2023,tp_amt_rate_2,28.0
cbo_feb_2024,2024,tp_amt_rate_2,28.0
cbo_feb_2024,2025,tp_amt_rate_2,28.0
cbo_feb_2024,2026,tp_amt_rate_2,28.0
cbo_feb_2024,2027,tp_amt_rate_2,28.0
cbo_feb_2024,2028,tp_amt_rate_2,28.0
cbo_feb_2024,2029,tp_amt_rate_2,28.0
cbo_feb_2024,2030,tp_amt_rate_2,28.0
cbo_feb_2024,2031,tp_amt_rate_2,28.0
cbo_feb_2024,2032,tp_amt_rate_2,28.0
cbo_feb_2024,2033,tp_amt_rate_2,28.0
cbo_feb_2024,2034,tp_amt_rate_2,28.0
cbo_feb_2024,2021,tp_bracket_1_hoh,0.0
cbo_feb_2024,2022,tp_bracket_1_hoh,0.0
cbo_feb_2024,2023,tp_bracket_1_hoh,0.0
cbo_feb_2024,2024,tp_bracket_1_hoh,0.0
cbo_feb_2024,2025,tp_bracket_1_hoh,0.0
cbo_feb_2024,2026,tp_bracket_1_hoh,0.0
cbo_feb_2024,2027,tp_bracket_1_hoh,0.0
cbo_feb_2024,2028,tp_bracket_1_hoh,0.0
