"Size and accumulated size
of adjusted gross income",All returns,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Taxable returns,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percent of
total",Amount,Percent of,,,"Average
total income 
tax (dollars)"
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
All returns,160824340,100,14795614070,100,91999,104573768,100,13879929368,100,104558480,11410488827,100,104549808,2136650742,100,2196348205,100,19.2,15.8,21003
No adjusted gross income,4098522,2.5,-171836364,[1],-41926,4367,[2],-12835378,[1],0,0,0,4361,186617,[2],186881,[2],[1],[1],42793.908861918935
"$1 under $5,000",8487025,5.3,19987243,0.1,2355,142593,0.1,451204,[2],138247,215047,[2],142544,73072,[2],73079,[2],34,16.2,512.5006136346104
"$5,000 under $10,000",8944908,5.6,67651359,0.5,7563,184757,0.2,1358544,[2],183282,678839,[2],184757,78223,[2],78223,[2],11.5,5.8,423.3831465113636
"$10,000 under $15,000",10056377,6.3,125912056,0.9,12521,1055682,1,14362205,0.1,1055290,1902679,[2],1055682,211113,[2],211113,[2],11.1,1.5,199.9778342341728
"$15,000 under $20,000",9786580,6.1,170836129,1.2,17456,3224975,3.1,57643020,0.4,3224957,16280270,0.1,3224915,1247479,0.1,1247485,0.1,7.7,2.2,386.8200528686269
"$20,000 under $25,000",8863570,5.5,199508960,1.3,22509,4511653,4.3,101727915,0.7,4511561,42948276,0.4,4511505,4047553,0.2,4047630,0.2,9.4,4,897.1501132733391
"$25,000 under $30,000",8787576,5.5,241347179,1.6,27465,5152142,4.9,141934070,1,5151981,69878847,0.6,5152093,6837013,0.3,6837046,0.3,9.8,4.8,1327.0298062436943
"$30,000 under $40,000",16123068,10,561386434,3.8,34819,10942006,10.5,382385416,2.8,10942006,217820876,1.9,10941846,21563554,1,21563813,1,9.9,5.6,1970.7367186601798
"$40,000 under $50,000",12782334,7.9,573155378,3.9,44840,10179035,9.7,457336377,3.3,10179019,292375379,2.6,10178852,28872618,1.4,28872871,1.3,9.9,6.3,2836.5037550219645
"$50,000 under $75,000",22653934,14.1,1392395599,9.4,61464,20080197,19.2,1238178360,8.9,20080186,869184978,7.6,20079918,93196258,4.4,93197007,4.2,10.7,7.5,4641.239675088845
