"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percent of
total",Amount,Percent of,,,"Average
total income 
tax (dollars)"
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
All returns,160602107,100,15286017359,100,95179,111572368,100,14402366694,100,111564470,11625278987,100,111545061,2108587001,100,2147909818,100,18.5,14.9,19251
No adjusted gross income,2180146,1.4,-144194936,[1],-66140,2096,[2],-6882431,[1],0,0,0,2094,113851,[2],114270,[2],[1],[1],54518
"$1 under $5,000",7357751,4.6,17450063,0.1,2372,120341,0.1,382609,[2],120306,162380,[2],120341,15081,[2],15081,[2],9.3,3.9,125
"$5,000 under $10,000",8077917,5,60949546,0.4,7545,141213,0.1,1028949,[2],141104,397647,[2],141213,42411,[2],42411,[2],10.7,4.1,300
"$10,000 under $15,000",8986005,5.6,112353814,0.7,12503,641689,0.6,9086630,0.1,639676,812171,[2],640711,88480,[2],88533,[2],10.9,1,138
"$15,000 under $20,000",8702094,5.4,151828408,1,17447,4028011,3.6,70833555,0.5,4027993,14056862,0.1,4028010,1317320,0.1,1317468,0.1,9.4,1.9,327
"$20,000 under $25,000",7925999,4.9,178000708,1.2,22458,4176659,3.7,93935906,0.7,4176585,34355660,0.3,4176659,3257177,0.2,3257177,0.2,9.5,3.5,780
"$25,000 under $30,000",7594157,4.7,208919443,1.4,27511,4418022,4,121706340,0.8,4418022,56798615,0.5,4416066,5552001,0.3,5552159,0.3,9.8,4.6,1257
"$30,000 under $40,000",15210266,9.5,531782365,3.5,34962,10192082,9.1,357555176,2.5,10192075,191946306,1.7,10192082,19427980,0.9,19428590,0.9,10.1,5.4,1906
"$40,000 under $50,000",13519034,8.4,606242938,4,44844,10574219,9.5,475698679,3.3,10574210,295164186,2.5,10574219,29591551,1.4,29591551,1.4,10,6.2,2798
"$50,000 under $75,000",24135884,15,1485510450,9.7,61548,21494289,19.3,1328067521,9.2,21494268,915001270,7.9,21494289,96758151,4.6,96759453,4.5,10.6,7.3,4502
"$75,000 under $100,000",15775468,9.8,1366616429,8.9,86629,15065384,13.5,1306200302,9.1,15065371,964806605,8.3,15064744,114196479,5.4,114197559,5.3,11.8,8.7,7580
"$100,000 under $200,000",27602755,17.2,3818295141,25,138330,27211633,24.4,3769472892,26.2,27211619,3024103032,26,27208705,409472473,19.4,409532689,19.1,13.5,10.9,15050
