"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Filing Status, Tax Year 2023 (Filing Year 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Size of adjusted
gross income",All returns,,,,,,,,,,,,Returns of married persons filing jointly and returns of surviving spouses,,,,,,,,,,,,Returns of married persons filing separately,,,,,,,,,,,,Returns of heads of households,,,,,,,,,,,,Returns of single persons,,,,,,,,,,,,,
,"Number
of
returns","Adjusted
gross income
less
deficit",Total itemized deductions,,Standard deduction,,Taxable income,,Income tax after credits,,Total income tax,,"Number
of
returns","Adjusted
gross income
less
deficit",Total itemized deductions,,Standard deduction,,Taxable income,,Income tax after credits,,Total income tax,,"Number
of
returns","Adjusted
gross income
less
deficit",Total itemized deductions,,Standard deduction,,Taxable income,,Income tax after credits,,Total income tax,,"Number
of
returns","Adjusted
gross income
less
deficit",Total itemized deductions,,Standard deduction,,Taxable income,,Income tax after credits,,Total income tax,,"Number
of
returns","Adjusted
gross income
less
deficit",Total itemized deductions,,Standard deduction,,Taxable income,,Income tax after credits,,Total income tax,,,
,,,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,,,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,,,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,,,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,,,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,"Number
of
returns",Amount,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42,-43,-44,-45,-46,-47,-48,-49,-50,-51,-52,-53,-54,-55,-56,-57,-58,-59,-60,,
"All returns, total",160602107,15286017359,15106257,690845489,143309624,2797528430,129936420,11944446990,111545062,2108587001,111572368,2147909818,54568939,9542425944,6596770,399614785,47388431,1347635385,48704196,7781688099,43450056,1440881062,43462977,1469795922,4139858,366797808,520531,21127948,3533695,49313891,3635470,301960773,3300850,56642068,3307802,58527000,21604491,1156241023,1258819,45021807,20248006,421326470,16649116,722090010,8401698,85162054,8403628,86067424,80288820,4220552585,6730137,225080949,72139492,979252684,60947639,3138708109,56392459,525901817,56397960,533519471,,
No adjusted gross income (includes deficits),2180146,-144194936,0,0,0,0,0,0,2094,113851,2096,114270,583590,-80261276,0,0,0,0,0,0,1138,92321,1140,92740,83702,-7798929,0,0,0,0,0,0,1129,5569,1129,5569,97661,-4229994,0,0,0,0,0,0,22,549,22,549,1415193,-51904737,0,0,0,0,0,0,847,17018,847,17018,,
"$1 under $5,000",7357751,17450063,81112,6697803,7273647,92548214,194361,220041,120341,15081,120341,15081,667231,1505229,12599,386337,654632,19232607,0,0,0,0,0,0,152900,299386,3075,59687,149825,2038286,0,0,0,0,0,0,362386,944797,3358,110744,359027,7468524,0,0,0,0,0,0,6175235,14700651,62079,6141034,6110163,63808798,192804,217455,119298,13476,119298,13476,,
