Size of adjusted gross income,"Number
of
returns",Tax credits,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,"Income
tax after
credits",Unnamed: 65,"Net investment
income tax",Unnamed: 67,"Total
income
tax",Unnamed: 69,All other taxes,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Refundable credits used to offset all other taxes,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,"Total
tax
liability",Unnamed: 107,Tax payments,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Refundable credits refundable portion,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,"Total income tax
minus refundable credits [3]",Unnamed: 141,Overpayment,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,"Tax due at
time of filing",Unnamed: 149,"Predetermined estimated
tax penalty",Unnamed: 151,Unnamed: 152,Unnamed: 153
,,Total,,Nonrefundable credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total refundable credits,,,,,,,,,,,,,,,,,,Refundable credits used to offset income tax before credits,,,,,,,,,,,,,,,,,,Total,,"Self-employment
tax",,"Social Security taxes
on tip income",,"Uncollected Social
Security tax",,"Total additional Social Security
and Medicare tax",,"Uncollected Social Security and Medicare
tax on tips or group-term life insurance",,"Interest on deferred tax on gain
from certain installment sales",,"Penalty tax on qualified
retirement plans",,"Household
employment tax",,"First-time homebuyer
credit repayment",,"Total additional
Medicare tax",,"Total additional
taxes",,Total,,"Earned income credit
 used to offset other taxes",,"Refundable child tax credit or
additional child tax credit
 used to offset other taxes",,"American opportunity credit
 used to offset other taxes",,"Recovery rebate credit
 used to offset other taxes [2]",,"Refundable child and dependent care
credit used to offset all other taxes",,,,Total,,"Income tax
withheld",,"Income tax
withheld from W2",,"Income tax withheld
from Form 1099",,"Income tax withheld
from other forms",,"Estimated tax
payments",,"Payments with request
for extension of filing time",,"Excess social security
taxes withheld",,"Credit for Federal tax on
gasoline and special fuels",,"Deferral for certain
Schedule H or SE filers",,Total,,"Earned income credit
refundable portion",,"Refundable child tax credit or
additional child tax credit
refundable portion",,"American opportunity credit
refundable portion",,"Recovery rebate credit
refundable portion [2]",,"Refundable child and dependent
care credit refundable portion",,,,Total,,Refunded,,"Credited to 2022
estimated tax",,,,,,,
,,,,"Foreign tax
credit",,"Child care
credit",,"Nonrefundable
education credit",,"Retirement savings
contribution credit",,"Nonrefundable child and other
dependent tax credit",,"Residential energy
credits",,Other nonrefundable credits,,,,,,,,,,,,,,,,,,Total,,Earned income credit,,"Refundable child tax credit or
additional child tax credit",,American opportunity credit,,Recovery rebate credit [2],,Net premium tax credit,,"Qualified sick and family leave credit
for leave taken before April 1, 2021",,"Refundable child and
dependent care credit",,"Qualified sick and family leave credit
for leave taken after March 31, 2021",,Total,,"Earned income credit used to
offset income tax before credits",,"Refundable child tax credit or additional
child tax credit used to offset income
tax before credits",,"American opportunity credit used to
offset income tax before credits",,"Recovery rebate credit used to
offset income tax before credits [2]",,"Refundable child and dependent care credit
used to offset income tax before credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total [1],,General business credit,,Prior-year minimum tax credit,,Adoption credit,,Credit for elderly and disabled,,Alternative motor vehicle credit,,Alternative fuel vehicle refueling prop. credit,,Qualified plug-in electric vehicle credit,,Mortgage interest credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,,
"All returns, total",160824340.0,67228472,150056640,10826959,29482592,601920,1077709,8122952,8279606,9199130,1759140,11778814,8724570,2606659,5333333,1096247,10366908,522507,7067166,124228,1493146,71702,335203,40263,3734,22513,103380,87508,42683,166244,1037358,90788,136590,66051616,233400306,32216183,65684435,37771612,115869125,6027056,5170213,12188336,20863054,4343215,3625006,1185058,4734950,5632571,11980877,1198515,5434617,43829777,85032586,15303483,9374006,23390345,57613280,3173123,2379377,5070792,7093487,3462895,5987803,104549808,2136650742,7211136,59697612,104573768,2196348205,33570834,104553699,21622374,77180298,72440,13531,52748,29055,119251,42113,609799,209730,8736,153379,4484060,5199727,172532,1215538,456717,220396,6028804,14590722,374109,611859,9960608,13067968,7204793,7802494,2031748,2799308,331071,171855,586244,532573,202168,219166,108226969,2287567821,140403775,2354668316,137245950,1470768559,117913495,1275505679,37574056,173057656,5455513,14447476,10159899,534373752,2579513,333198369,1896100,5011595,241533,236397,21745,36593,38362021,135299753,25321866,48507936,18541727,55456537,3208328,2618981,8312892,13236995,2643717,5773909,145337695,2047980485,115781497,494571248,112779775,378564518,3781189,116006730,38883806,305053445,12211598,1951700,,
No adjusted gross income,4098522.0,12327,33270,151,222,0,0,1609,964,1869,1743,3113,1684,130,620,5808,24662,1520,24013,535,15,0,0,4766,526,0,0,0,0,43,223,0,0,2160810,7612477,406043,813324,684329,2525090,93819,87508,1204696,2140771,167952,161445,88301,899109,1876,5719,85939,971741,1735,3575,66,131,639,1772,278,160,631,1127,7137,5253,4361,186617,66,271,4367,186881,248414,768855,187229,595444,0,0,2109,422,96,61,1072,65,212,3233,19097,19433,1535,19495,4381,2032,14803,30844,3431,71614,155938,183889,103395,84209,95930,119107,1783,1416,16697,21608,5191,4165,140912,769894,640292,5449942,540057,2741324,306505,2113070,269856,560473,18426,22504,110329,2064841,23611,520356,5701,16069,19528,100687,192,247,2100275,7425012,359807,728984,671975,2468082,92617,85932,1197555,2118036,1713,4917,2164244,-7422021,2496555,12436262,2448307,11057702,66663,1378561,98047,335375,25663,2551, ,
"$1 under $5,000",8487025.0,35316,1427,25213,653,0,0,3017,322,4037,520,0,0,0,0,43,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685785,8361006,2974347,2772092,893885,3028202,190600,165808,982518,1609728,198657,94518,49115,317545,36207,35604,41661,337508,4064,197,3024,115,0,0,0,0,2097,895,0,0,142544,73072,0,0,142593,73079,1278761,571914,1176024,521399,4034,116,0,0,6047,477,5031,48,0,0,49372,5285,1557,12207,6030,3048,1625,1209,7141,892,834488,341645,755118,301108,34773,13704,13954,4817,98722,43814,1036,2971,655294,300353,4064588,1370367,3996714,1155191,3419066,595746,588594,495502,23827,50688,58822,159484,21825,21892,1239,961,9348,5079,10307,6584,3572454,8019164,2825663,2470868,891371,3014498,188597,160991,979321,1594412,332826,673068,3827370,-8287729,5701636,9270766,5662878,9189950,42847,80817,586481,211718,6992,261,,
"$5,000 under $10,000",8944908.0,42757,7155,32501,1150,0,0,0,0,3010,773,1107,681,0,0,0,0,0,0,1021,420,0,0,0,0,0,0,0,0,0,0,0,0,4930755,14101025,4309924,7165617,1149241,3852416,308906,262760,1010617,1643802,283942,156379,121090,416112,90749,169945,105548,432839,6099,4070,5039,3241,0,0,0,0,0,0,0,0,184757,78223,0,0,184757,78223,1685278,1586085,1536614,1540698,4031,1363,6030,3517,9054,4407,19230,2121,0,0,92640,11084,6,78,5440,2742,476,1055,0,0,1355963,1240696,1227921,1112169,0,0,26193,12814,0,0,0,0,594280,420610,6323360,3332171,6251992,2750263,5415780,1888110,968376,796753,26644,18706,78511,365369,29340,44725,2307,1377,13482,24617,0,0,4815951,12856259,4173569,6050207,1145039,3788544,305609,249947,1004018,1614408,0,0,5115509,-14018731,7628045,15947264,7592543,15696133,49671,251131,433886,326721,71006,1593,,
