Size of adjusted gross income,"Number
of
returns",Tax credits,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,"Income
tax after
credits",Unnamed: 57,"Net investment
income tax",Unnamed: 59,"Total
income
tax",Unnamed: 61,All other taxes,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Refundable credits used to offset all other taxes,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,"Total
tax
liability",Unnamed: 95,Tax payments,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Refundable credits refundable portion,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,"Total income tax
minus refundable credits [2]",Unnamed: 123,Overpayment,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,"Tax due at
time of filing",Unnamed: 131,"Predetermined estimated
tax penalty",Unnamed: 133,Unnamed: 134,Unnamed: 135
,,Total,,Nonrefundable credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total refundable credits,,,,,,,,,,,,,,Refundable credits used to offset income tax before credits,,,,,,,,,,,,,,Total,,"Self-employment
tax",,"Social Security taxes
on tip income",,"Uncollected Social
Security tax",,"Total additional Social Security
and Medicare tax",,"Uncollected Social Security and Medicare
tax on tips or group-term life insurance",,"Interest on deferred tax on gain
from certain installment sales",,"Penalty tax on qualified
retirement plans",,"Household
employment tax",,"First-time homebuyer
credit repayment",,"Total additional
Medicare tax",,"Total additional
taxes",,Total,,"Earned income credit
 used to offset other taxes",,"Refundable child tax credit or
additional child tax credit
 used to offset other taxes",,"American opportunity credit
 used to offset other taxes",,,,Total,,"Income tax
withheld",,"Income tax
withheld from Form W2",,"Income tax withheld
from Form 1099",,"Income tax withheld
from other forms",,"Estimated tax
payments",,"Payments with request
for extension of filing time",,"Excess Social Security
taxes withheld",,"Credit for Federal tax on
gasoline and special fuels",,Total,,"Earned income credit
refundable portion",,"Refundable child tax credit or
additional child tax credit
refundable portion",,"American opportunity credit
refundable portion",,,,Total,,Refunded,,"Credited to 2023
estimated tax",,,,,,,
,,,,"Foreign tax
credit",,"Credit for child and
dependent care",,"Nonrefundable
education credit",,"Retirement savings
contribution credit",,"Nonrefundable child and other
dependent tax credit",,"Residential energy
credits",,Other nonrefundable credits,,,,,,,,,,,,,,,,,,Total,,Earned income credit,,"Refundable child tax credit or
additional child tax credit",,American opportunity credit,,Net premium tax credit,,"Qualified sick and family leave credit
for leave taken before April 1, 2021",,"Qualified sick and family leave credit for
leave taken after March 31, 2021 
and before October 1, 2021",,Total,,"Earned income credit used to
offset income tax before credits",,"Refundable child tax credit or additional
child tax credit used to offset income
tax before credits",,"American opportunity credit used to
offset income tax before credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total [1],,General business credit,,Prior-year minimum tax credit,,Adoption credit,,Credit for elderly and disabled,,Alternative motor vehicle credit,,Alternative fuel vehicle refueling prop. credit,,Qualified plug-in electric vehicle credit,,Mortgage interest credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,,
"All returns, total",161336659.0,61831870,154773149,11309631,32886473,5624565,3449539,7528175,7850773,9350016,1810118,38295035,83033285,3209936,8237739,1220076,11274652,527880,7383881,113921,1394884,57700,257701,69845,5292,42531,189368,97790,42321,248052,1652554,88559,139929,35486880,112737204,24086346,60068921,18076696,34843071,5957083,5184485,2318423,2388657,435710,3216748,410837,3631573,7867360,6223030,2869112,908014,512481,1173129,3039310,2305411,110611880,2098923017,7140565,40994087,110640128,2139922072,36666212,111568188,22434877,81017483,84910,16467,60035,31667,142177,48084,605857,266640,9783,316701,4788972,5646079,226516,1353946,458968,227222,6973863,15086713,372249,518445,8913792,12296521,7086706,8848310,1643128,2291289,382011,207332,116294699,2238645554,141172647,2365774824,137845727,1566742898,120463527,1363255151,32364226,182759766,6281577,16932599,10533943,581222117,2094039,203886329,2122720,5858921,568926,7187735,27444265,94217653,20524486,50312596,16745784,31378653,3173881,2671742,141251863,2033060076,112860628,501047449,109581457,367537955,4401815,133509495,41855466,284147330,14072382,4126359,,
No adjusted gross income,3254225.0,18812,21304,607,96,1326,453,4039,856,779,392,7365,3236,2218,644,3914,14209,601,13378,146,35,0,0,3231,725,0,0,0,0,5,24,0,0,1266548,4825591,148454,227231,122506,359515,112582,104584,129016,151674,157313,1391710,158099,1450846,883,1532,112,453,2051,1032,2196,1141,3843,128418,0,0,3843,128418,306957,722277,204917,621669,0,0,342,327,877,343,699,523,211,7692,16428,17131,1495,21372,8142,4032,15292,28468,1278,3419,104612,115023,70136,53860,144675,178014,102843,30638,248581,728978,704020,7425925,556750,2931548,328249,2196333,258572,695216,20553,35067,125305,2848693,26799,654706,4670,10900,50198,960043,1204217,4709036,103340,172918,110731,318989,110742,101955,1280219,-4699133,1756362,11788133,1709329,10424258,65756,1363875,180777,390670,34059,5425, ,
"$1 under $5,000",8195781.0,44324,7358,18864,486,0,0,6028,2062,0,0,11481,2958,0,0,6008,362,0,0,0,0,0,0,6008,362,0,0,0,0,0,0,0,0,2393258,2702870,2030906,982279,372316,298001,220193,186985,129934,113791,47389,385822,46432,452553,2973,1377,2955,942,0,0,0,0,105475,18734,0,0,105475,18734,1586391,700022,1440763,656176,4548,91,3003,256,7016,332,5355,370,0,0,47210,11926,0,0,3003,1502,1075,1965,5540,839,717222,225980,1672718,880108,33246,11768,0,0,1365876,488932,3733597,1750828,3617187,1206580,3083225,606087,569737,582081,21457,13982,103950,355754,19809,48621,308,534,16813,124820,1968423,2475513,1599708,797389,353913,286233,216203,178364,2509828,-2685313,4517980,4116879,4485431,4028534,42076,88346,1219308,385648,14383,1434,,
"$5,000 under $10,000",8747727.0,60859,11621,19788,1061,3003,819,8302,1658,4979,729,15228,4282,2568,719,5014,374,33,81,0,0,0,0,4955,363,0,0,0,0,0,0,0,0,3616528,6652832,3217563,4191820,968898,910218,307082,272066,160457,95873,40543,294278,37583,594105,3003,1978,0,0,0,0,0,0,119109,41423,0,0,119109,41423,1752611,1627677,1557553,1565630,9083,323,5022,1038,14105,1361,11900,1574,0,0,90486,16452,4935,3427,10976,4848,2017,1857,3010,938,1130536,789706,0,0,0,0,34921,18610,1217123,868870,6030337,3775949,5914279,2563984,5271165,1791436,777473,749225,26136,12868,81498,286978,30650,27491,1124,215,48790,847229,3097503,5861148,2711963,3495660,935987,875805,294945,253456,3746257,-6615614,6686786,9476920,6658564,9400999,37021,75921,980426,726335,135428,6462,,
