Size of adjusted gross income,"Number
of
returns",Tax credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Income
tax after
credits",,"Net investment
income tax",,"Total
income
tax",,All other taxes,,,,,,,,,,,,,,,,,,,,,,,,Refundable credits used to offset all other taxes,,,,,,,,"Total
tax
liability",,Tax payments,,,,,,,,,,,,,,,,,,Refundable credits refundable portion,,,,,,,,"Total income tax
minus refundable credits [2]",,Overpayment,,,,,,"Tax due at
time of filing",,"Predetermined estimated
tax penalty",,,
,,Total,,Nonrefundable credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total refundable credits,,,,,,,,,,,,,,Refundable credits used to offset income tax before credits,,,,,,,,,,,,,,Total,,"Self-employment
tax",,"Social Security taxes
on tip income",,"Uncollected Social
Security tax",,"Total additional Social Security
and Medicare tax",,"Uncollected Social Security and Medicare
tax on tips or group-term life insurance",,"Interest on deferred tax on gain
from certain installment sales",,"Penalty tax on qualified
retirement plans",,"Household
employment tax",,"First-time homebuyer
credit repayment",,"Total additional
Medicare tax",,"Total additional
taxes",,Total,,"Earned income credit
 used to offset other taxes",,"Refundable child tax credit or
additional child tax credit
 used to offset other taxes",,"American opportunity credit
 used to offset other taxes",,,,Total,,"Income tax
withheld",,"Income tax
withheld from Form W2",,"Income tax withheld
from Form 1099",,"Income tax withheld
from other forms",,"Estimated tax
payments",,"Payments with request
for extension of filing time",,"Excess Social Security
taxes withheld",,"Credit for Federal tax on
gasoline and special fuels",,Total,,"Earned income credit
refundable portion",,"Refundable child tax credit or
additional child tax credit
refundable portion",,"American opportunity credit
refundable portion",,,,Total,,Refunded,,"Credited to 2024
estimated tax",,,,,,,
,,,,"Foreign tax
credit",,"Credit for child and
dependent care",,"Nonrefundable
education credit",,"Retirement savings
contribution credit",,"Nonrefundable child and other
dependent tax credit",,"Residential clean
energy credit",,"Energy efficient home
improvement credit",,Other nonrefundable credits,,,,,,,,,,,,,,,,Total,,Earned income credit,,"Refundable child tax credit or
additional child tax credit",,American opportunity credit,,Net premium tax credit,,"Qualified sick and family leave credit
for leave taken before April 1, 2021",,"Qualified sick and family leave credit for
leave taken after March 31, 2021 
and before October 1, 2021",,Total,,"Earned income credit used to
offset income tax before credits",,"Refundable child tax credit or additional
child tax credit used to offset income
tax before credits",,"American opportunity credit used to
offset income tax before credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Total [1],,General business credit,,Prior-year minimum tax credit,,Adoption credit,,Credit for elderly and disabled,,Alternative fuel vehicle refueling prop. credit,,Clean vehicle credit,,Mortgage interest credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,,
"All returns, total",160602107,62704159,157487258,11791525,31907464,5720294,3468910,7211349,7554668,9831548,2037572,38949527,84418366,1481945,8229832,2570561,2328597,1467567,12662360,552344,7066426,113755,1526140,48062,265620,45136,3182,104733,51775,493953,3231102,86419,156200,33773798,110068980,24439936,66270000,17626084,34533251,5821688,5090364,2410248,2648231,49798,341314,49949,361949,7132766,4661165,2852281,938266,133788,334493,2927815,2230093,111545062,2108587001,8104840,39330017,111572368,2147909818,37275015,113591089,21853594,81087060,94504,21974,58003,37613,149463,59629,574187,344525,6492,402247,5092999,6380591,242743,1339688,409307,183907,7660835,15760953,319527,705309,8627365,12390241,7063930,9448466,1509231,2134480,367230,209068,117193521,2248494065,141470218,2388808318,138326435,1619255913,120890143,1403546325,33417322,194260534,6886761,19595149,10546072,547174173,2461454,213964901,1731782,4969435,303094,1497427,26172929,93017574,20876626,55883268,16638574,32064278,3101752,2651204,140881072,2042047899,110603976,490962436,107217721,358279416,4305789,132683021,43628900,263092256,15025409,5268943,,
No adjusted gross income,2180146,20585,20164,2774,342,0,0,3658,636,2077,573,6777,3969,1523,1861,1062,57,5382,11655,1552,11103,1055,918,0,0,4965,540,0,0,9,2,2047,1909,506360,922550,134382,177020,87342,236106,133129,128503,120932,176954,3987,20918,2003,20933,3773,3782,1139,573,1008,227,1232,351,2094,113851,2259,620,2096,114270,289458,589327,182756,483677,0,0,3010,688,1010,188,2501,121,130,15657,23289,36053,1735,10699,3106,1751,14964,22528,3168,982,100188,102139,74010,54052,17678,30736,5886,3325,231707,596185,667076,5798068,576928,2862367,325803,2010782,267254,607221,25438,242190,110440,2370847,23149,278859,5010,14148,13057,148135,448838,817615,83431,122832,79391,205291,130888,125057,521386,-809044,975413,6296734,932680,5215275,54902,1081459,172865,285371,35960,6634, ,
"$1 under $5,000",7357751,55961,10731,20062,548,0,0,11766,2744,4031,959,12872,3825,0,0,0,0,6284,596,0,0,0,0,0,0,6284,596,0,0,0,0,0,0,1890479,1204657,1676293,763369,265559,123120,197310,175665,116316,68693,0,0,0,0,0,0,0,0,0,0,0,0,120341,15081,0,0,120341,15081,1428908,584414,1288544,541383,9055,476,0,0,11055,976,2108,85,0,0,50854,5980,0,0,6203,2176,374,491,0,0,583112,179272,547274,154816,13250,9774,21014,5558,1310693,408927,3150076,1436472,3061210,1205183,2550574,532182,545099,657112,21152,15304,75661,192722,31134,18530,0,0,6110,16082,1506203,1025053,1280689,608553,254050,113346,196247,170107,2021157,-1198498,3734112,2412721,3689483,2314989,52828,97732,1178298,363219,9859,1055,,
