id,household_id,family_id,tax_unit_index,member_count,dependent_count,dependents_under_6,dependents_6_to_16,dependents_age_17,dependents_age_18,dependents_19_to_23_student,weight,wages,interest_income,dividend_income,capital_gains,investment_income,social_security,unemployment,children,married,age_head,state_fips,source_taxable_income,agi
601,6,1,1,2,0,0,0,0,0,0,601.57,0.0,126.0,0.0,0.0,126.0,32040.0,0.0,0,1,85,23,0.0,126.0
602,6,0,2,1,1,0,1,0,0,0,1312.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,15,23,0.0,0.0
701,7,1,1,2,0,0,0,0,0,0,1559.99,40000.0,39.0,0.0,0.0,39.0,10799.0,0.0,0,1,53,23,18961.0,40039.0
801,8,0,1,1,0,0,0,0,0,0,1147.71,0.0,0.0,0.0,0.0,0.0,11567.0,0.0,0,0,72,23,0.0,0.0
901,9,1,1,2,1,0,1,0,0,0,580.6,0.0,0.0,0.0,0.0,0.0,9648.0,0.0,1,0,68,23,0.0,0.0
1001,10,0,1,1,0,0,0,0,0,0,1494.38,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0,0,73,23,0.0,15.0
1201,12,1,1,2,0,0,0,0,0,0,2040.45,3840.0,2065.0,0.0,0.0,2065.0,580.0,0.0,0,1,61,23,72698.0,5905.0
1601,16,0,1,1,0,0,0,0,0,0,1521.46,0.0,7475.0,180.0,1250.0,8905.0,16332.0,0.0,0,0,72,23,7241.0,8905.0
1701,17,1,1,2,0,0,0,0,0,0,1500.23,61729.0,101.0,0.0,0.0,101.0,0.0,0.0,0,1,62,23,34130.0,61830.0
1702,17,1,2,1,0,0,0,0,0,0,1720.54,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0,0,32,23,0.0,5.0
1801,18,1,1,2,0,0,0,0,0,0,1351.18,0.0,0.0,0.0,0.0,0.0,36000.0,0.0,0,1,58,23,0.0,0.0
1901,19,1,1,2,0,0,0,0,0,0,1107.88,900.0,2728.0,1200.0,0.0,3928.0,32758.0,0.0,0,1,85,23,0.0,4828.0
2001,20,1,1,1,0,0,0,0,0,0,1663.67,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,63,23,20350.0,15000.0
2002,20,1,2,1,0,0,0,0,0,0,4018.31,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0,0,40,23,0.0,2000.0
2101,21,1,1,2,0,0,0,0,0,0,1351.18,68000.0,7.0,0.0,0.0,7.0,0.0,0.0,0,1,57,23,40307.0,68007.0
2102,21,1,2,1,1,0,0,0,0,0,2413.89,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23,23,6150.0,20000.0
2201,22,0,1,1,0,0,0,0,0,0,1127.29,0.0,2.0,0.0,0.0,2.0,22379.0,0.0,0,0,72,23,0.0,2.0
2202,22,0,2,1,0,0,0,0,0,0,1327.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,56,23,0.0,0.0
2501,25,0,1,1,0,0,0,0,0,0,1229.7,0.0,3.0,0.0,0.0,3.0,18371.0,0.0,0,0,79,23,0.0,3.0
2601,26,0,1,1,0,0,0,0,0,0,1313.66,0.0,0.0,0.0,0.0,0.0,13979.0,0.0,0,0,71,23,0.0,0.0
2901,29,0,1,1,0,0,0,0,0,0,1515.96,0.0,10.0,100.0,0.0,110.0,38495.0,0.0,0,0,75,23,0.0,110.0
3001,30,1,1,1,0,0,0,0,0,0,1639.36,80000.0,2006.0,0.0,0.0,2006.0,0.0,0.0,0,0,58,23,68156.0,82006.0
3002,30,1,2,1,0,0,0,0,0,0,1251.98,0.0,0.0,0.0,0.0,0.0,8004.0,0.0,0,0,80,23,1568.0,0.0
3101,31,1,1,1,0,0,0,0,0,0,1229.7,0.0,1.0,0.0,0.0,1.0,13979.0,0.0,0,0,80,23,0.0,1.0
3102,31,1,2,1,0,0,0,0,0,0,1500.23,45000.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0,0,61,23,34150.0,48000.0
3201,32,1,1,2,0,0,0,0,0,0,1359.71,0.0,48.0,0.0,0.0,48.0,36358.0,0.0,0,1,51,23,0.0,48.0
3301,33,1,1,2,0,0,0,0,0,0,1045.91,0.0,300.0,0.0,0.0,300.0,51756.0,0.0,0,1,76,23,0.0,300.0
3401,34,1,1,3,1,0,1,0,0,0,1243.45,5000.0,2000.0,0.0,0.0,2000.0,17579.0,0.0,1,1,37,23,0.0,7000.0
3501,35,0,1,1,0,0,0,0,0,0,1778.15,0.0,0.0,0.0,0.0,0.0,15238.0,0.0,0,0,68,23,0.0,0.0
3601,36,1,1,1,0,0,0,0,0,0,1515.96,0.0,902.0,0.0,0.0,902.0,0.0,0.0,0,0,85,23,202.0,902.0
3602,36,1,2,1,0,0,0,0,0,0,2520.17,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24,23,14150.0,28000.0
3603,36,1,3,1,0,0,0,0,0,0,2732.97,3840.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,42,23,0.0,3840.0
3801,38,0,1,1,0,0,0,0,0,0,1107.88,0.0,12.0,0.0,0.0,12.0,23723.0,0.0,0,0,85,23,0.0,12.0
3901,39,1,1,3,2,0,2,0,0,0,832.49,72000.0,8.0,0.0,0.0,8.0,0.0,0.0,2,0,41,23,51208.0,72008.0
4101,41,1,1,2,0,0,0,0,0,0,1327.13,53287.0,1.0,0.0,0.0,1.0,22980.0,0.0,0,1,55,23,45121.0,53288.0
4201,42,1,1,2,1,1,0,0,0,0,1428.04,0.0,9005.0,0.0,0.0,9005.0,0.0,0.0,1,0,42,23,0.0,9005.0
4301,43,0,1,1,0,0,0,0,0,0,1852.75,42000.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,57,23,28151.0,42001.0
4401,44,1,1,2,1,1,0,0,0,0,674.17,30000.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,54,23,9201.0,30001.0
4402,44,1,2,1,0,0,0,0,0,0,1113.39,30000.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,29,23,16151.0,30001.0
4403,44,0,3,1,0,0,0,0,0,0,1822.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,26,23,0.0,0.0
5601,56,1,1,2,0,0,0,0,0,0,1565.21,101500.0,5016.0,0.0,0.0,5016.0,0.0,0.0,0,1,56,23,78816.0,106516.0
6501,65,1,1,2,0,0,0,0,0,0,801.94,0.0,110.0,0.0,0.0,110.0,40368.0,0.0,0,1,69,23,0.0,110.0
6502,65,2,2,2,1,1,0,0,0,0,1533.13,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,37,23,4200.0,25000.0
6801,68,0,1,1,0,0,0,0,0,0,944.48,0.0,0.0,0.0,0.0,0.0,7212.0,0.0,0,0,63,23,0.0,0.0
6901,69,1,1,3,2,0,2,0,0,0,904.73,25000.0,1.0,0.0,0.0,1.0,0.0,0.0,2,0,45,23,4201.0,25001.0
7101,71,1,1,2,0,0,0,0,0,0,1424.25,0.0,2085.0,0.0,0.0,2085.0,40360.0,0.0,0,1,85,23,0.0,2085.0
7301,73,1,1,2,0,0,0,0,0,0,1107.88,0.0,76.0,0.0,0.0,76.0,4345.0,0.0,0,1,75,23,6607.0,76.0
7302,73,1,2,1,0,0,0,0,0,0,1107.88,0.0,4000.0,0.0,0.0,4000.0,20000.0,0.0,0,0,85,23,0.0,4000.0
7401,74,1,1,2,0,0,0,0,0,0,1327.13,58000.0,4.0,2.0,0.0,6.0,28800.0,0.0,0,1,58,23,119986.0,58006.0
7501,75,1,1,2,0,0,0,0,0,0,1392.88,200000.0,150.0,0.0,0.0,150.0,32028.0,0.0,0,1,67,23,192394.0,200150.0
7601,76,0,1,1,0,0,0,0,0,0,3119.33,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,27,23,36150.0,50000.0
7602,76,0,2,1,0,0,0,0,0,0,3119.33,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,23,4150.0,18000.0
7801,78,0,1,1,0,0,0,0,0,0,1748.54,65000.0,74.0,0.0,0.0,74.0,0.0,0.0,0,0,64,23,51224.0,65074.0
7901,79,1,1,2,0,0,0,0,0,0,1778.15,0.0,65.0,38500.0,3001.0,41566.0,0.0,0.0,0,1,67,23,63554.0,41566.0
8001,80,0,1,1,0,0,0,0,0,0,1564.31,0.0,190.0,0.0,0.0,190.0,16379.0,0.0,0,0,80,23,0.0,190.0
8501,85,0,1,1,0,0,0,0,0,0,1061.25,0.0,2562.0,0.0,0.0,2562.0,17532.0,0.0,0,0,76,23,0.0,2562.0
8701,87,1,1,1,0,0,0,0,0,0,1424.25,0.0,0.0,0.0,0.0,0.0,5892.0,0.0,0,0,85,23,0.0,0.0
8702,87,1,2,1,0,0,0,0,0,0,1693.81,0.0,0.0,0.0,0.0,0.0,11376.0,0.0,0,0,64,23,0.0,0.0
8703,87,0,3,1,0,0,0,0,0,0,1424.25,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0,0,77,23,0.0,0.0
9101,91,1,1,2,0,0,0,0,0,0,1694.91,74269.0,42.0,1201.0,0.0,1243.0,0.0,0.0,0,1,56,23,59812.0,75512.0
9201,92,1,1,2,0,0,0,0,0,0,1368.09,40000.0,2145.0,2000.0,0.0,4145.0,55575.0,0.0,0,1,69,23,43188.0,44145.0
9401,94,1,1,2,0,0,0,0,0,0,1631.96,0.0,0.0,0.0,0.0,0.0,12348.0,0.0,0,1,67,23,10918.0,0.0
9501,95,0,1,1,0,0,0,0,0,0,1229.7,0.0,0.0,0.0,0.0,0.0,7908.0,0.0,0,0,85,23,0.0,0.0
9701,97,1,1,4,2,2,0,0,0,0,1613.79,108143.0,36.0,0.0,0.0,36.0,0.0,0.0,2,1,35,23,80479.0,108179.0
9801,98,0,1,1,0,0,0,0,0,0,1389.74,20000.0,504.0,0.0,0.0,504.0,24000.0,0.0,0,0,71,23,8558.0,20504.0
9901,99,1,1,1,0,0,0,0,0,0,601.57,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,77,23,0.0,14000.0
9902,99,2,2,2,1,0,1,0,0,0,1013.63,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,55,23,0.0,16000.0
